gene_id	OTA	MCPD	TCP	Ctrl
ENSRNOG00000016807	309.677816467697	1093.35756399984	1087.44464855809	1194.16424823153
ENSRNOG00000017817	1232.49466332306	873.865628707544	654.475617088421	875.416809345229
ENSRNOG00000011189	597.822239955414	1262.43372053953	528.105470111395	1241.40083980248
ENSRNOG00000034254	826.798493030271	831.648388548196	1183.21430718491	774.522207011064
ENSRNOG00000016727	1037.07201171102	991.127881919909	815.075745766246	742.278256217603
ENSRNOG00000018237	186.235798539306	1194.85095258052	1414.24169400019	714.065263228679
ENSRNOG00000002934	828.55975665056	715.9788201358	1112.52387657515	832.708323335392
ENSRNOG00000013291	766.393917131984	889.856485575669	839.526285082696	989.042488299573
ENSRNOG00000020618	1136.06829083496	731.860116455988	833.11589521948	775.633983087451
ENSRNOG00000033473	1436.55316347508	990.408153849441	256.691771992493	777.695285285296
ENSRNOG00000043098	1118.72565404583	943.18231373636	523.776364232581	835.15065056378
ENSRNOG00000011648	437.422952345725	966.80012799309	733.066733524711	1277.88183779641
ENSRNOG00000002115	876.844550815711	1107.40899557537	345.031977537586	1055.72726068923
ENSRNOG00000014272	1134.3567466439	801.465932238868	444.545235779461	977.45842728642
ENSRNOG00000049912	1054.90588352338	855.022584164349	491.885862937418	887.398790008932
ENSRNOG00000027864	843.9214907858	688.92803770913	888.055891167011	830.923223967766
ENSRNOG00000039980	695.292434538838	802.973702144229	887.815081259628	831.415646022086
ENSRNOG00000008414	1158.07906282695	722.811619960694	648.823552228264	663.8574896035
ENSRNOG00000010524	451.898858161746	596.60382533144	1380.82102024191	761.608063944808
ENSRNOG00000017194	540.596855438389	812.648661808902	1053.55979092155	779.029339721186
ENSRNOG00000003150	699.166173387434	812.137600264487	777.689162967428	833.512988900882
ENSRNOG00000001596	930.332796884773	714.884465672692	721.943186536131	704.334240060809
ENSRNOG00000017901	159.265177393321	984.002817407529	957.605279905599	941.396277441434
ENSRNOG00000018566	363.677882594653	872.239509922126	830.155751990481	925.230747748902
ENSRNOG00000019974	990.279104152166	702.859708688638	594.454706626551	656.547531056974
ENSRNOG00000016387	795.066756721492	603.305956993598	888.650251322701	629.962859305035
ENSRNOG00000024603	930.710396915186	592.833028126644	680.303669226505	711.524357742117
ENSRNOG00000000610	551.216640338235	751.546435023724	712.923730486239	851.487584454422
ENSRNOG00000030019	735.132760555469	635.937217423216	705.327557338506	782.416064264683
ENSRNOG00000016961	672.531344541236	538.309016329007	986.751887194085	625.675571924958
ENSRNOG00000016271	767.162102332993	585.229256695663	770.120972375694	690.138926412709
ENSRNOG00000034066	714.890979577342	660.124542645543	591.950767655947	801.016153338367
ENSRNOG00000002050	896.11642746953	743.535435687856	429.609198864625	696.245907360697
ENSRNOG00000042271	773.60535750295	709.784745591424	297.503996072309	982.542295666898
ENSRNOG00000015262	515.205260569047	963.861391868985	557.596174814572	682.556352974294
ENSRNOG00000010452	446.021708510136	722.969782599949	724.429443131031	823.951998260301
ENSRNOG00000056765	544.011596261161	550.197293618167	998.552540943633	600.359081248909
ENSRNOG00000008694	232.451656737431	1114.41563426532	253.355975398267	1083.88258826011
ENSRNOG00000015591	618.110924806703	684.954931822245	637.270314745106	740.944770007364
ENSRNOG00000048812	700.20559611804	680.560702903792	749.359574136598	529.348565517892
ENSRNOG00000012081	551.937745175858	681.727337956528	848.419753547593	557.858766632044
ENSRNOG00000017895	762.202242361689	619.979778708656	697.213818032164	558.187925288286
ENSRNOG00000028582	117.375320610552	557.473236862703	1051.03340178646	902.132728716267
ENSRNOG00000007650	618.929376680867	562.349525919584	935.459875356448	476.652765800441
ENSRNOG00000030478	537.092945831507	451.348476064528	883.739960351935	709.294757921919
ENSRNOG00000017821	595.482574183401	772.224931649405	448.13749477222	751.704899091943
ENSRNOG00000019459	833.158583320269	628.94922207348	590.5654111086	512.10467107121
ENSRNOG00000020296	722.8741265165	561.945380827129	516.486749532155	755.8769800005
ENSRNOG00000021035	762.559573010617	587.959546532123	712.768206937401	482.493864944857
ENSRNOG00000016580	751.652679193146	485.874360348408	792.519505208277	506.289211601971
ENSRNOG00000008551	709.965891430529	446.710331877772	882.428741541103	490.040176639394
ENSRNOG00000004741	701.924014930731	479.996274708894	800.530232651577	544.965541030522
ENSRNOG00000005828	498.816691396648	592.250701460706	696.60248895199	737.912122766101
ENSRNOG00000010807	696.898517455657	589.107736302336	609.57014225274	629.047887564056
ENSRNOG00000020266	641.555639590114	493.364369376163	843.81817124493	539.320565519797
ENSRNOG00000019629	548.009636808828	730.70605421239	523.829728806738	692.793337850003
ENSRNOG00000019106	818.389089367827	536.181471372598	516.763511541361	621.092066401303
ENSRNOG00000006542	721.005377901233	632.658658187727	491.871592727826	641.39144243476
ENSRNOG00000019007	676.355922565878	565.648645512627	643.208593309237	551.082834675289
