"","Ctrl","OTA","MCPD","TCP"
"ENSRNOG00000002934",10.243824380879,10.4774215860736,10.1305401863863,10.6559011098472
"ENSRNOG00000013291",10.4914673483645,10.3651542711201,10.4434226344582,10.2506058465816
"ENSRNOG00000020618",10.1416582798201,10.9319511707835,10.1621053421534,10.2395755668701
"ENSRNOG00000033473",10.1454768518037,11.270038050542,10.5975497348157,8.54931007821787
"ENSRNOG00000043098",10.2480389043959,10.9097930902127,10.5272065254835,9.57217433303953
"ENSRNOG00000011648",10.8604208542216,9.55862387414534,10.5628141021795,10.0555035012474
"ENSRNOG00000002115",10.5854055035579,10.5589656155913,10.7583403279281,8.97296870251452
"ENSRNOG00000014272",10.4745067043493,10.9297794644199,10.2928423892491,9.3365916791046
"ENSRNOG00000049912",10.3353702755035,10.8251905580103,10.385942240995,9.48192466414605
"ENSRNOG00000027864",10.2407361748374,10.5038679990026,10.0751319157668,10.3314818653461
"ENSRNOG00000039980",10.24158872108,10.2250318896535,10.2955472924426,10.3310915371631
"ENSRNOG00000008414",9.91781675672561,10.9595922117738,10.1442055725301,9.87992620007823
"ENSRNOG00000010524",10.1154033236721,9.60540644736579,9.86818796128648,10.9670569117347
"ENSRNOG00000017194",10.1479428174582,9.86302515112082,10.312784294904,10.577490844327
"ENSRNOG00000003150",10.2452142865662,10.2330268531147,10.3118789163453,10.140513437323
"ENSRNOG00000001596",10.0029398790284,10.644222358956,10.1283394354422,10.0335084872208
"ENSRNOG00000017901",10.4203929175329,8.11126138964596,10.5882076218915,10.4400124746996
"ENSRNOG00000018566",10.3954605257926,9.2934482609901,10.4146386273519,10.2344534815212
"ENSRNOG00000019974",9.90189369506715,10.7341428990373,10.1039338795888,9.75409735615821
"ENSRNOG00000016387",9.84245663997957,10.4180228829793,9.88425184034158,10.3324448105012
"ENSRNOG00000024603",10.0175491258502,10.6448066715225,9.85907074410242,9.94806104499296
"ENSRNOG00000000610",10.2759179571962,9.89099971176583,10.2002982601584,10.0154244598435
"ENSRNOG00000030019",10.1541842239948,10.3052159680611,9.96000552333784,10.0000162734201
"ENSRNOG00000016961",9.83263774735051,10.177138917808,9.72036314921584,10.4831744321669
"ENSRNOG00000016271",9.97365537396751,10.3665962466855,9.84050886138437,10.1264435016745
"ENSRNOG00000034066",10.1879891854215,10.2650336511787,10.0136962462345,9.74802938361704
"ENSRNOG00000002050",9.98632681584315,10.5902674712125,10.1848781315485,9.2875248101828
"ENSRNOG00000042271",10.4819747436776,10.3786345993642,10.1180393719469,8.76055705081477
"ENSRNOG00000015262",9.9577657299162,9.79385406132049,10.5584310726089,9.66209060416012
"ENSRNOG00000010452",10.2286122993459,9.58659548951358,10.1445203651267,10.0384538382169
"ENSRNOG00000056765",9.77325371596625,9.87207954037503,9.75176399362739,10.5002887799353
"ENSRNOG00000008694",10.6233018291597,8.65170249535891,10.7674234857394,8.53059475081988
"ENSRNOG00000015591",10.0758320772603,10.0557404113917,10.066811536743,9.85409080409345
"ENSRNOG00000048812",9.59232584127886,10.235164587521,10.0575530205014,10.0871264931119
"ENSRNOG00000012081",9.66771407132667,9.89287971751003,10.0600168867321,10.2657703989596
"ENSRNOG00000017895",9.66856185156404,10.3572605061984,9.92345695175468,9.98337443179263
"ENSRNOG00000028582",10.3590713308378,7.67667250269208,9.77065035071662,10.5740341485896
"ENSRNOG00000007650",9.44168155016042,10.0576439359396,9.78317088511922,10.4063327210677
"ENSRNOG00000030478",10.013034715815,9.85367487493165,9.46718293059624,10.3244701184611
"ENSRNOG00000017821",10.0965736497903,10.0020922799284,10.2393561971036,9.34814789626567
"ENSRNOG00000019459",9.544739995952,10.4853897883068,9.94411420153221,9.74466115205817
"ENSRNOG00000020296",10.104536337576,10.2810150501636,9.78213730742565,9.55203694304412
"ENSRNOG00000021035",9.45917626574158,10.3579351181126,9.84720139935191,10.0151106381501
"ENSRNOG00000016580",9.5283312284651,10.3372002893293,9.57307915137803,10.1676927141826
"ENSRNOG00000008551",9.48146866592642,10.2550851219136,9.45234587780686,10.3223331193663
"ENSRNOG00000004741",9.63410816802908,10.2386918503385,9.55559036199757,10.1821635731685
"ENSRNOG00000005828",10.0699319754843,9.74738063086355,9.85765761616675,9.98211274216113
"ENSRNOG00000010807",9.84036674209175,10.2283520434057,9.8500066167956,9.79019533767042
"ENSRNOG00000020266",9.61914462780686,10.1092967476779,9.59506097498148,10.257943989122
"ENSRNOG00000019629",9.9791767209166,9.88260886982655,10.1598346901712,9.57232071992407
"ENSRNOG00000019106",9.82206600335765,10.4596414092915,9.71467078708037,9.55280664701941
"ENSRNOG00000006542",9.86830888677397,10.2772898560152,9.95257158075468,9.48188298914347
"ENSRNOG00000019007",9.65015038915916,10.1852983907469,9.79158061240961,9.86742778238195
"ENSRNOG00000054626",9.51886225654706,10.220268198556,9.50760952029159,10.1166417048655
"ENSRNOG00000005975",9.46309020418698,10.0682147759747,9.57312238573772,10.22023901111
"ENSRNOG00000001991",9.76869530332714,9.74931878987456,9.75185398035789,10.1057434149182
"ENSRNOG00000008103",9.92085742580585,9.62661328633985,9.88535612513685,9.91062634368727
"ENSRNOG00000012142",9.86006397557776,8.34538100860693,9.75327410363474,10.5009203839662
"ENSRNOG00000011138",9.73321147788112,9.8215322925675,9.93448748618521,9.83885096433093
"ENSRNOG00000047321",10.3042671605552,9.97065691528038,9.75593781776087,9.03491305305035
"ENSRNOG00000003960",9.74666869476121,9.73812440154139,9.76530025767743,10.0286080517672
"ENSRNOG00000052802",9.40827424442877,10.3398386595496,9.62554149088604,9.85166022650704
"ENSRNOG00000018816",9.86653532187979,10.1069033407765,9.87580379847868,9.42298699014511
"ENSRNOG00000018964",9.95013825835657,9.11429864969258,9.94719442801406,10.0061338236152
"ENSRNOG00000015320",9.69412407606453,10.2274685834108,9.87459186978355,9.39986609542112
"ENSRNOG00000005512",9.8003315387751,10.0773411185858,9.72287047803564,9.63281662599002
"ENSRNOG00000003232",10.0387198292822,9.70634804333317,10.0979496444472,9.19189609124426
"ENSRNOG00000019834",9.74703677947168,10.0024625977074,9.66652096569365,9.7194040783453
"ENSRNOG00000014948",10.3278151091816,8.21344155755378,10.1345816930698,9.52636449571982
"ENSRNOG00000001344",9.7600880957159,10.1643677214095,10.0129415272944,8.84926410425499
"ENSRNOG00000028884",9.99130414998846,9.88524952017342,9.79637655178507,9.2462119156978
"ENSRNOG00000027049",9.90000140309443,10.3153507975908,9.88046543740145,8.36472920168597
"ENSRNOG00000019902",9.94289136970844,9.47725345192786,10.0195540850677,9.40160070095356
"ENSRNOG00000000490",9.48626399022686,10.2781757135554,9.55565202281215,9.54455588763731
"ENSRNOG00000043348",9.87397230712765,10.1098886599154,9.32722706013725,9.516456344132
"ENSRNOG00000057514",9.96753461688381,9.73391150281878,10.2144993147871,8.44219403320547
"ENSRNOG00000030237",9.55816267077614,9.83668415044411,9.64456217911591,9.81277880933451
"ENSRNOG00000018320",9.40662292796079,10.0571001001201,9.29287042210515,9.93275558781091
"ENSRNOG00000060449",9.14651557015452,10.124907218617,9.46459266319239,9.92321116840106
"ENSRNOG00000016625",10.1514370948383,9.28565353144116,9.78787278707076,9.30347868293803
"ENSRNOG00000060098",9.90758351215323,10.1260174596294,9.87022994521712,8.40045580816773
"ENSRNOG00000018795",9.31082792040759,10.1973431252402,9.40265786206215,9.7283738918968
"ENSRNOG00000048878",9.71577358604024,9.78682750685413,9.78863596833868,9.43807100760976
"ENSRNOG00000020982",8.11120812576194,10.2624074222689,9.76184127652363,9.90874536763569
"ENSRNOG00000018774",9.43267182838543,10.4437284687094,9.58691299328007,8.96367935461143
"ENSRNOG00000017597",9.63444077570316,9.85518597898799,9.96251756737491,9.17056213737556
"ENSRNOG00000028319",9.96240257155681,9.10770139313853,10.0243042059808,9.30437548246859
"ENSRNOG00000008364",9.67406434911361,9.41718633361358,9.81902065581702,9.68294853217279
"ENSRNOG00000002671",9.62511804254145,10.1612330915709,9.63372978799692,9.07174183848363
"ENSRNOG00000019578",9.57373030899806,10.3740753240614,9.4525884045301,8.8645662237001
"ENSRNOG00000008555",9.47246238256884,9.85628718742345,9.64801651571135,9.54550573447562
"ENSRNOG00000008837",9.65154790240039,9.6784454108917,10.0459837563466,8.88304222968382
"ENSRNOG00000001242",9.32229915129367,7.94307623494224,9.73264780348309,10.3369326600005
"ENSRNOG00000007393",9.51104711768683,9.67445766532089,10.2801691622683,8.39311936293655
"ENSRNOG00000019453",9.13610406562325,9.59703458507872,9.21263175229638,10.1315457822607
"ENSRNOG00000047931",9.31359473434387,10.4478468025362,9.41058782454882,8.75865128909511
"ENSRNOG00000017417",9.52709563377086,9.85389273322082,9.59758786021866,9.3100982645536
"ENSRNOG00000016478",9.44887114163418,9.64252929819189,9.59953731676138,9.59253466296715
"ENSRNOG00000039473",9.3490415739451,9.36045921330378,9.30592934190331,9.96493312322905
"ENSRNOG00000008289",9.17729428237724,9.59760689172121,9.3853639130462,9.77279955022639
"ENSRNOG00000014610",9.86000937488839,9.64612405096793,9.65169228604301,8.52979260074649
"ENSRNOG00000011893",9.50004828612689,9.72643764922691,9.37579563418061,9.37766446592415
"ENSRNOG00000008161",9.80123331277025,9.85243086692634,9.68283385844284,8.15411616859532
"ENSRNOG00000014179",9.32817110264126,9.63031572029581,9.15597555940919,9.75254105407725
"ENSRNOG00000020636",9.16379410053471,10.0007758221825,9.30519601340774,9.40203143843161
"ENSRNOG00000011419",9.53407614223111,9.06101194101271,9.40943605353177,9.7655078684436
"ENSRNOG00000020674",9.47346594333995,10.0773675389914,9.44613688408449,8.69263141169792
"ENSRNOG00000017418",9.18877631072944,9.7379438265039,9.19857907058865,9.67452854801234
"ENSRNOG00000003163",9.3621946441005,9.44969118547129,9.41733034430694,9.60538514998591
"ENSRNOG00000051624",9.78764985281625,9.68470170218504,9.18803609839021,9.07721005506891
"ENSRNOG00000008461",9.50956666490786,9.74685592597891,9.87785952111923,8.2342243295898
"ENSRNOG00000000850",9.65489981928781,9.61543349028008,9.67777273381691,8.57983812269865
"ENSRNOG00000001136",9.39840042771867,9.99346713584808,9.47786969427908,8.67486177311746
"ENSRNOG00000061425",9.33753826783051,9.74453770443426,9.46127569998979,9.17228949599303
"ENSRNOG00000004426",9.12531020324274,10.3265225217323,9.26973759655056,8.55715734501897
"ENSRNOG00000014078",9.32167326038311,9.74794174225582,9.39260491993823,9.20908602005699
"ENSRNOG00000029941",9.76589879127867,8.75225788009686,9.79028983027191,9.02750309338095
"ENSRNOG00000025648",9.92850355594269,8.04708109853745,9.72303804936708,9.17569217825694
"ENSRNOG00000015335",9.44682703502252,10.1968061350408,9.44521662745749,7.71289714116341
"ENSRNOG00000008842",8.80679455455326,9.04813300974673,8.85562798989057,10.248872376383
"ENSRNOG00000005424",9.73499080189411,8.66125466708086,9.47705355867872,9.4187799251788
"ENSRNOG00000016896",8.80007226637675,9.46943664694123,8.81855675192212,10.0630153563266
"ENSRNOG00000006375",9.43275800551268,9.50373959518603,9.45395791512151,9.1303714677441
